Name,Director,Cast_1,Cast_2,Cast_3,Studio
The Rabbit House,Vaibhav Kulkarni,Amit Riyaan,Karishma,Padmanabh,Geetai Productions
Fateh,Sonu Sood,Sonu Sood,Naseeruddin Shah,Jacqueline Fernandez,Zee Studios
Match Fixing,Kedar Gaekwad,Vineet Kumar Singh,Raj Arjun,Shataf Figar,Artarena Creations
Emergency,Kangana Ranaut,Kangana Ranaut,Anupam Kher,Shreyas Talpade,Zee Studios
Azaad,Abhishek Kapoor,Ajay Devgn,Diana Penty,Aaman Devgan,RSVP Movies
Mission Grey House,Naushad Siddiqui,Abeer Khan,Puja Sharma,Rajesh Sharma,Reliance Entertainment
Sangee,Sumit Kulkarni,Sharib Hashmi,Sanjay Bishnoi,Gaurav More,Yantrana Films
Hisaab Barabar,Ashwni Dhir,R. Madhavan,Neil Nitin Mukesh,Kirti Kulhari,Jio Studios
Sky Force,Sandeep KewlaniAbhishek Anil Kapur,Akshay Kumar,Veer Pahariya,Sara Ali Khan,Jio Studios
Sweet Dreams,Victor Mukherjee,Amol Parashar,Mithila Palkar,,Jio Studios
The Storyteller,Anant Mahadevan,Paresh Rawal,Adil Hussain,Revathi,Jio Studios
Deva,Rosshan Andrrews,Shahid Kapoor,Pooja Hegde,,Zee Studios
Loveyapa,Advait Chandan,Khushi Kapoor,Junaid Khan,,Zee Studios
Badass Ravi Kumar,Keith Gomes,Himesh Reshammiya,Prabhu Deva,Kirti Kulhari,Himesh Reshammiya Melodies
Mrs.,Aarti Kadav,Sanya Malhotra,Nishant Dahiya,Kanwaljit Singh,Jio Studios
The Mehta Boys,Boman Irani,Boman Irani,Avinash Tiwary,,Irani Movietone
Bobby Aur Rishi Ki Love Story,Kunal Kohli,Vardhan Puri,Kaveri Kapur,,Jio Studios
Chhaava,Laxman Utekar,Vicky Kaushal,Rashmika Mandanna,Akshaye Khanna,Maddock Films
Dhoom Dhaam,Rishab Seth,Pratik Gandhi,Yami Gautam,,Jio Studios
Mere Husband Ki Biwi,Mudassar Aziz,Arjun Kapoor,Rakul Preet Singh,Bhumi Pednekar,Pooja Entertainment
Kaushaljis vs Kaushal,Seemaa Desai,Ashutosh Rana,Sheeba Chadha,Isha Talwar,Jio Studios
Shaila,Saki Shah,Rohit Chaudhary,Sara Khan,Sonam Arora,Reliance Entertainment
Crazxy,Girish Kohli,Sohum Shah,,,Sohum Shah Films
Superboys of Malegaon,Reema Kagti,Adarsh Gourav,Vineet Kumar Singh,Shashank Arora,Amazon MGM Studios
Dil Dosti Aur Dogs,Viral Shah,Neena Gupta,Masumeh Makhija,Sharad Kelkar,Jio Studios
Nadaaniyan,Shauna Gautam,Ibrahim Ali Khan,Khushi Kapoor,Mahima Chaudhry,Dharmatic Entertainment
Riwaj,Manoj Sati,Myra Sareen,Aftab Shivdasani,Adhvik Mahajan,Kashish Khan Production
The Diplomat,Shivam Nair,John Abraham,Sadia Khateeb,Revathy,T-Series Films
My Melbourne,Kabir KhanRima DasOnirImtiaz Ali,Ryanna Skye,Kat Stewart,Jake Ryan,Screen Australia
Be Happy,Remo D'Souza,Abhishek Bachchan,Nora Fatehi,Nassar,Remo D'Souza Entertainment
Inn Galiyon Mein,Avinash Das,Vivaan Shah,Avantika Dassani,Javed Jaffrey,Yadunath Films
Aachari Baa,Hardik Gajjar,Neena Gupta,Vatsal Sheth,Apoorva Arora,Jio Studios
Baida,Puneet Sharma,Sudhanshu Rai,Manisha Rai,Shobhit Sujay,MNM Entertainment
Tumko Meri Kasam,Vikram Bhatt,Anupam Kher,Ishwak Singh,Adah Sharma,Indira Entertainment
Pintu Ki Pappi,Shiv Hare,Shushant,Jaanyaa Joshi,Viidhi,Mythri Movie Makers
Sikandar,AR Murugadoss,Salman Khan,Kajal Aggarwal,Rashmika Mandanna,Nadiadwala Grandson Entertainment
Jaat,Gopichand Malineni,Sunny Deol,Randeep Hooda,Regina Cassandra,Mythri Movie Makers
Chhorii 2,Vishal Furia,Nushrratt Bharuccha,Soha Ali Khan,Gashmeer Mahajani,T-Series Films
Kesari Chapter 2,Karan Singh Tyagi,Akshay Kumar,R. Madhavan,Ananya Panday,Dharma Productions
Logout,Amit Golani,Babil Khan,Rasika Dugal,Gandharv Dewan,Viacom18 Studios
The Secret of Devkaali,Niraj Chauhan,Niraj Chauhan,Bhumika Gurung,Mahesh Manjrekar,Chauhan Production
Ground Zero,Tejas Prabha Vijay Deoskar,Emraan Hashmi,Sai Tamhankar,Zoya Hussain,Excel Entertainment
Jewel Thief,Kookie GulatiRobbie Garewal,Saif Ali Khan,Jaideep Ahlawat,Nikita Dutta,Marflix Pictures
Phule,Anant Mahadevan,Pratik Gandhi,Patralekha,,Zee Studios
Oye Bhootni Ke,Ajay Kailash Yadav,Mahaakshay Chakraborty,Nikita Sharma,Diana Khan,Sahatyam Films
Raid 2,Raj Kumar Gupta,Ajay Devgn,Riteish Deshmukh,Vaani Kapoor,T-Series Films
The Bhootnii,Sidhaant Sachdev,Sanjay Dutt,Mouni Roy,Sunny Singh,Soham Rockstar Entertainment
Costao,Sejal Shah,Nawazuddin Siddiqui,Priya Bapat,Kishore Kumar GGagan Dev Riar,Bhanushali Studios
The Networker,Vikas Kumar Vishwakarma,Vikram Kochhar,Durgesh Kumar,Ishtiyak Khan,Gutargoo Entertainment
Romeo S3,Guddu Dhanoa,Thakur Anoop Singh,Palak Tiwari,,Pen Studios
Bhool Chuk Maaf,Karan Sharma,Rajkummar Rao,Wamiqa Gabbi,,Amazon MGM Studios
Kapkapiii,Sangeeth Sivan,Tusshar Kapoor,Shreyas Talpade,Jay Thakkar,Zee Studios
Pune Highway,Rahul da CunhaBugs Bhargava Krishna,Jim Sarbh,Amit Sadh,Manjari Fadnis,Drop D Films
Kesari Veer,Prince Dhiman,Suniel Shetty,Vivek Oberoi,Sooraj Pancholi,Chauhan Studios
Chidiya,Mehran Amrohi,Vinay Pathak,Amruta Subhash Svar Kamble,Ayush Pathak,Smiley Films
