Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,The Rabbit House,Vaibhav Kulkarni,Amit Riyaan,Karishma,Padmanabh,Geetai Productions,hindi
2025,Fateh,Sonu Sood,Sonu Sood,Naseeruddin Shah,Jacqueline Fernandez,Zee Studios,hindi
2025,Match Fixing,Kedar Gaekwad,Vineet Kumar Singh,Raj Arjun,Shataf Figar,Artarena Creations,hindi
2025,Emergency,Kangana Ranaut,Kangana Ranaut,Anupam Kher,Shreyas Talpade,Zee Studios,hindi
2025,Azaad,Abhishek Kapoor,Ajay Devgn,Diana Penty,Aaman Devgan,RSVP Movies,hindi
2025,Mission Grey House,Naushad Siddiqui,Abeer Khan,Puja Sharma,Rajesh Sharma,Reliance Entertainment,hindi
2025,Sangee,Sumit Kulkarni,Sharib Hashmi,Sanjay Bishnoi,Gaurav More,Yantrana Films,hindi
2025,Hisaab Barabar,Ashwni Dhir,R. Madhavan,Neil Nitin Mukesh,Kirti Kulhari,Jio Studios,hindi
2025,Sky Force,Sandeep KewlaniAbhishek Anil Kapur,Akshay Kumar,Veer Pahariya,Sara Ali Khan,Jio Studios,hindi
2025,Sweet Dreams,Victor Mukherjee,Amol Parashar,Mithila Palkar,,Jio Studios,hindi
2025,The Storyteller,Anant Mahadevan,Paresh Rawal,Adil Hussain,Revathi,Jio Studios,hindi
2025,Deva,Rosshan Andrrews,Shahid Kapoor,Pooja Hegde,,Zee Studios,hindi
2025,Loveyapa,Advait Chandan,Khushi Kapoor,Junaid Khan,,Zee Studios,hindi
2025,Badass Ravi Kumar,Keith Gomes,Himesh Reshammiya,Prabhu Deva,Kirti Kulhari,Himesh Reshammiya Melodies,hindi
2025,Mrs.,Aarti Kadav,Sanya Malhotra,Nishant Dahiya,Kanwaljit Singh,Jio Studios,hindi
2025,The Mehta Boys,Boman Irani,Boman Irani,Avinash Tiwary,,Irani Movietone,hindi
2025,Bobby Aur Rishi Ki Love Story,Kunal Kohli,Vardhan Puri,Kaveri Kapur,,Jio Studios,hindi
2025,Chhaava,Laxman Utekar,Vicky Kaushal,Rashmika Mandanna,Akshaye Khanna,Maddock Films,hindi
