Name,Director,Cast,Studio,Table
The Rabbit House,Vaibhav Kulkarni,"Amit RiyaanKarishmaPadmanabh, Gagan PradeepPreeti SharmaSuresh Kumbhar",Geetai Productions,3
Fateh,Sonu Sood,Sonu SoodNaseeruddin ShahJacqueline Fernandez,"Zee Studios, Shakti Sagar Productions",3
Match Fixing,Kedar Gaekwad,Vineet Kumar SinghRaj ArjunShataf FigarAnuja Sathe,Artarena Creations,3
Emergency,Kangana Ranaut,Kangana RanautAnupam KherShreyas TalpadeMahima ChaudhryMilind SomanSatish Kaushik,"Zee Studios, Manikarnika Films",3
Azaad,Abhishek Kapoor,Ajay DevgnDiana PentyAaman DevganRasha ThadaniMohit MalikPiyush Mishra,"RSVP Movies, Guy In The Sky Pictures",3
Mission Grey House,Naushad Siddiqui,Abeer KhanPuja SharmaRajesh SharmaKiran KumarNikhat KhanKamlesh SawantRaza Murad,"Reliance Entertainment, Rafat Films Entertainment",3
Sangee,Sumit Kulkarni,Sharib HashmiSanjay BishnoiGaurav MoreVidya MalvadeShyamraj PatilMartin Jishil,"Yantrana Films, Armoks Films",3
Hisaab Barabar,Ashwni Dhir,R. MadhavanNeil Nitin MukeshKirti KulhariRashami Desai,"Jio Studios, SP Cinecorp, ZEE5",3
Sky Force,Sandeep KewlaniAbhishek Anil Kapur,Akshay KumarVeer PahariyaSara Ali KhanNimrat Kaur,"Jio Studios, Maddock Films, Leo Films",3
Sweet Dreams,Victor Mukherjee,Amol ParasharMithila Palkar,"Jio Studios, Mango People Media, Disney+Hotstar",3
The Storyteller,Anant Mahadevan,Paresh RawalAdil HussainRevathiTannishtha Chatterjee,"Jio Studios, Purpose Entertainment, Quest Films, Disney+Hotstar",3
Deva,Rosshan Andrrews,Shahid KapoorPooja Hegde,"Zee Studios, Roy Kapur Films",3
Loveyapa,Advait Chandan,Khushi KapoorJunaid Khan,"Zee Studios, Phantom Studios, AGS Entertainment",3
Badass Ravi Kumar,Keith Gomes,Himesh ReshammiyaPrabhu DevaKirti KulhariSonia KapoorRajesh SharmaJohny LeverNavneet NishanManish WadhwaSanjay MishraAnil George,Himesh Reshammiya Melodies,3
Mrs.,Aarti Kadav,Sanya MalhotraNishant DahiyaKanwaljit Singh,"Jio Studios, Baweja Studios, ZEE5",3
