Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,The Rabbit House,Vaibhav Kulkarni,Amit Riyaan, Karishma," Padmanabh, Gagan Pradeep, Preeti Sharma, Suresh Kumbhar",Geetai Productions,hindi
2025,Fateh,Sonu Sood,Sonu Sood, Naseeruddin Shah, Jacqueline Fernandez,"Zee Studios, Shakti Sagar Productions",hindi
2025,Match Fixing,Kedar Gaekwad,Vineet Kumar Singh, Raj Arjun," Shataf Figar, Anuja Sathe",Artarena Creations,hindi
2025,Emergency,Kangana Ranaut,Kangana Ranaut, Anupam Kher," Shreyas Talpade, Mahima Chaudhry, Milind Soman, Satish Kaushik","Zee Studios, Manikarnika Films",hindi
2025,Azaad,Abhishek Kapoor,Ajay Devgn, Diana Penty," Aaman Devgan, Rasha Thadani, Mohit Malik, Piyush Mishra","RSVP Movies, Guy In The Sky Pictures",hindi
2025,Mission Grey House,Naushad Siddiqui,Abeer Khan, Puja Sharma," Rajesh Sharma, Kiran Kumar, Nikhat Khan, Kamlesh Sawant, Raza Murad","Reliance Entertainment, Rafat Films Entertainment",hindi
2025,Sangee,Sumit Kulkarni,Sharib Hashmi, Sanjay Bishnoi," Gaurav More, Vidya Malvade, Shyamraj Patil, Martin Jishil","Yantrana Films, Armoks Films",hindi
2025,Hisaab Barabar,Ashwni Dhir,R. Madhavan, Neil Nitin Mukesh," Kirti Kulhari, Rashami Desai","Jio Studios, SP Cinecorp, ZEE5",hindi
2025,Sky Force,Sandeep KewlaniAbhishek Anil Kapur,Akshay Kumar, Veer Pahariya," Sara Ali Khan, Nimrat Kaur","Jio Studios, Maddock Films, Leo Films",hindi
2025,Sweet Dreams,Victor Mukherjee,Amol Parashar, Mithila Palkar,,"Jio Studios, Mango People Media, Disney+Hotstar",hindi
2025,The Storyteller,Anant Mahadevan,Paresh Rawal, Adil Hussain," Revathi, Tannishtha Chatterjee","Jio Studios, Purpose Entertainment, Quest Films, Disney+Hotstar",hindi
2025,Deva,Rosshan Andrrews,Shahid Kapoor, Pooja Hegde,,"Zee Studios, Roy Kapur Films",hindi
2025,Loveyapa,Advait Chandan,Khushi Kapoor, Junaid Khan,,"Zee Studios, Phantom Studios, AGS Entertainment",hindi
2025,Badass Ravi Kumar,Keith Gomes,Himesh Reshammiya, Prabhu Deva," Kirti Kulhari, Sonia Kapoor, Rajesh Sharma, Johny Lever, Navneet Nishan, Manish Wadhwa, Sanjay Mishra, Anil George",Himesh Reshammiya Melodies,hindi
2025,Mrs.,Aarti Kadav,Sanya Malhotra, Nishant Dahiya, Kanwaljit Singh,"Jio Studios, Baweja Studios, ZEE5",hindi
2025,The Mehta Boys,Boman Irani,Boman Irani, Avinash Tiwary,,"Irani Movietone, Chalkboard Entertainment, Amazon Prime Video",hindi
2025,Bobby Aur Rishi Ki Love Story,Kunal Kohli,Vardhan Puri, Kaveri Kapur,,"Jio Studios, The Production Headquarters, The Indian Scion Production, Disney+Hotstar",hindi
2025,Chhaava,Laxman Utekar,Vicky Kaushal, Rashmika Mandanna, Akshaye Khanna,Maddock Films,hindi
2025,Dhoom Dhaam,Rishab Seth,Pratik Gandhi, Yami Gautam,,"Jio Studios, B62 Studios, Netflix",hindi
2025,Mere Husband Ki Biwi,Mudassar Aziz,Arjun Kapoor, Rakul Preet Singh, Bhumi Pednekar,Pooja Entertainment,hindi
